Data Table for Daily Death Trends - North Carolina,,,
Date generated: Sat Mar 05 2022 21:13:50 GMT-0500 (Eastern Standard Time),,,
State,Date,New Deaths,Day
North Carolina,Sep 21 2021,61,569
North Carolina,Sep 20 2021,66,568
North Carolina,Sep 19 2021,58,567
North Carolina,Sep 18 2021,69,566
North Carolina,Sep 17 2021,79,565
North Carolina,Sep 16 2021,73,564
North Carolina,Sep 15 2021,80,563
North Carolina,Sep 14 2021,85,562
North Carolina,Sep 13 2021,82,561
North Carolina,Sep 12 2021,66,560
North Carolina,Sep 11 2021,82,559
North Carolina,Sep 10 2021,67,558
North Carolina,Sep  9 2021,69,557
North Carolina,Sep  8 2021,69,556
North Carolina,Sep  7 2021,68,555
North Carolina,Sep  6 2021,65,554
North Carolina,Sep  5 2021,73,553
North Carolina,Sep  4 2021,85,552
North Carolina,Sep  3 2021,72,551
North Carolina,Sep  2 2021,68,550
North Carolina,Sep  1 2021,81,549
North Carolina,Aug 31 2021,61,548
North Carolina,Aug 30 2021,68,547
North Carolina,Aug 29 2021,58,546
North Carolina,Aug 28 2021,66,545
North Carolina,Aug 27 2021,67,544
North Carolina,Aug 26 2021,46,543
North Carolina,Aug 25 2021,54,542
North Carolina,Aug 24 2021,63,541
North Carolina,Aug 23 2021,58,540
North Carolina,Aug 22 2021,45,539
North Carolina,Aug 21 2021,57,538
North Carolina,Aug 20 2021,38,537
North Carolina,Aug 19 2021,37,536
North Carolina,Aug 18 2021,56,535
North Carolina,Aug 17 2021,44,534
North Carolina,Aug 16 2021,40,533
North Carolina,Aug 15 2021,33,532
North Carolina,Aug 14 2021,31,531
North Carolina,Aug 13 2021,37,530
North Carolina,Aug 12 2021,31,529
North Carolina,Aug 11 2021,32,528
North Carolina,Aug 10 2021,19,527
North Carolina,Aug  9 2021,18,526
North Carolina,Aug  8 2021,18,525
North Carolina,Aug  7 2021,18,524
North Carolina,Aug  6 2021,28,523
North Carolina,Aug  5 2021,17,522
North Carolina,Aug  4 2021,19,521
North Carolina,Aug  3 2021,15,520
North Carolina,Aug  2 2021,13,519
North Carolina,Aug  1 2021,18,518
North Carolina,Jul 31 2021,14,517
North Carolina,Jul 30 2021,10,516
North Carolina,Jul 29 2021,17,515
North Carolina,Jul 28 2021,10,514
North Carolina,Jul 27 2021,15,513
North Carolina,Jul 26 2021,9,512
North Carolina,Jul 25 2021,11,511
North Carolina,Jul 24 2021,10,510
North Carolina,Jul 23 2021,11,509
North Carolina,Jul 22 2021,8,508
North Carolina,Jul 21 2021,5,507
North Carolina,Jul 20 2021,8,506
North Carolina,Jul 19 2021,2,505
North Carolina,Jul 18 2021,5,504
North Carolina,Jul 17 2021,7,503
North Carolina,Jul 16 2021,6,502
North Carolina,Jul 15 2021,4,501
North Carolina,Jul 14 2021,6,500
North Carolina,Jul 13 2021,3,499
North Carolina,Jul 12 2021,3,498
North Carolina,Jul 11 2021,4,497
North Carolina,Jul 10 2021,6,496
North Carolina,Jul  9 2021,4,495
North Carolina,Jul  8 2021,4,494
North Carolina,Jul  7 2021,8,493
North Carolina,Jul  6 2021,2,492
North Carolina,Jul  5 2021,3,491
North Carolina,Jul  4 2021,2,490
North Carolina,Jul  3 2021,5,489
North Carolina,Jul  2 2021,6,488
North Carolina,Jul  1 2021,5,487
North Carolina,Jun 30 2021,4,486
North Carolina,Jun 29 2021,2,485
North Carolina,Jun 28 2021,3,484
North Carolina,Jun 27 2021,1,483
North Carolina,Jun 26 2021,9,482
North Carolina,Jun 25 2021,11,481
North Carolina,Jun 24 2021,1,480
North Carolina,Jun 23 2021,4,479
North Carolina,Jun 22 2021,3,478
North Carolina,Jun 21 2021,8,477
North Carolina,Jun 20 2021,3,476
North Carolina,Jun 19 2021,4,475
North Carolina,Jun 18 2021,3,474
North Carolina,Jun 17 2021,5,473
North Carolina,Jun 16 2021,3,472
North Carolina,Jun 15 2021,8,471
North Carolina,Jun 14 2021,6,470
North Carolina,Jun 13 2021,4,469
North Carolina,Jun 12 2021,6,468
North Carolina,Jun 11 2021,9,467
North Carolina,Jun 10 2021,11,466
North Carolina,Jun  9 2021,0,465
North Carolina,Jun  8 2021,5,464
North Carolina,Jun  7 2021,11,463
North Carolina,Jun  6 2021,6,462
North Carolina,Jun  5 2021,6,461
North Carolina,Jun  4 2021,5,460
North Carolina,Jun  3 2021,12,459
North Carolina,Jun  2 2021,9,458
North Carolina,Jun  1 2021,11,457
North Carolina,May 31 2021,7,456
North Carolina,May 30 2021,8,455
North Carolina,May 29 2021,8,454
North Carolina,May 28 2021,5,453
North Carolina,May 27 2021,8,452
North Carolina,May 26 2021,13,451
North Carolina,May 25 2021,8,450
North Carolina,May 24 2021,10,449
North Carolina,May 23 2021,7,448
North Carolina,May 22 2021,10,447
North Carolina,May 21 2021,15,446
North Carolina,May 20 2021,18,445
North Carolina,May 19 2021,13,444
North Carolina,May 18 2021,9,443
North Carolina,May 17 2021,18,442
North Carolina,May 16 2021,14,441
North Carolina,May 15 2021,11,440
North Carolina,May 14 2021,15,439
North Carolina,May 13 2021,8,438
North Carolina,May 12 2021,11,437
North Carolina,May 11 2021,20,436
North Carolina,May 10 2021,5,435
North Carolina,May  9 2021,14,434
North Carolina,May  8 2021,14,433
North Carolina,May  7 2021,8,432
North Carolina,May  6 2021,14,431
North Carolina,May  5 2021,17,430
North Carolina,May  4 2021,16,429
North Carolina,May  3 2021,12,428
North Carolina,May  2 2021,6,427
North Carolina,May  1 2021,11,426
North Carolina,Apr 30 2021,14,425
North Carolina,Apr 29 2021,9,424
North Carolina,Apr 28 2021,17,423
North Carolina,Apr 27 2021,10,422
North Carolina,Apr 26 2021,10,421
North Carolina,Apr 25 2021,14,420
North Carolina,Apr 24 2021,11,419
North Carolina,Apr 23 2021,14,418
North Carolina,Apr 22 2021,14,417
North Carolina,Apr 21 2021,10,416
North Carolina,Apr 20 2021,13,415
North Carolina,Apr 19 2021,10,414
North Carolina,Apr 18 2021,14,413
North Carolina,Apr 17 2021,16,412
North Carolina,Apr 16 2021,9,411
North Carolina,Apr 15 2021,5,410
North Carolina,Apr 14 2021,8,409
North Carolina,Apr 13 2021,11,408
North Carolina,Apr 12 2021,12,407
North Carolina,Apr 11 2021,14,406
